card,category,cashback_pct,point_mul,point_cashback_equiv,point_travel_equiv,point_giftcard_equiv
bank_of_america_customized_cash_rewards,grocery,2,0,2,2,2
bank_of_america_customized_cash_rewards,gas,6,0,6,6,6
bank_of_america_customized_cash_rewards,online,6,0,6,6,6
bank_of_america_customized_cash_rewards,dining,6,0,6,6,6
bank_of_america_customized_cash_rewards,travel,6,0,6,6,6
bank_of_america_customized_cash_rewards,pharma,6,0,6,6,6
bank_of_america_customized_cash_rewards,all,1,0,1,1,1
bank_of_america_unlimited_cash_rewards,all,2,0,2,2,2
bank_of_america_travel_rewards,all,0,1,1,1,1
bank_of_america_premium_rewards,travel,0,2,2,2,2
bank_of_america_premium_rewards,dining,0,2,2,2,2
bank_of_america_premium_rewards,all,0,1,1,1,1
bank_of_america_premium_rewards_elite,travel,0,2,2,2,2
bank_of_america_premium_rewards_elite,dining,0,2,2,2,2
bank_of_america_premium_rewards_elite,all,0,1,1,1,1
bank_of_america_customized_cash_rewards_for_students,grocery,2,0,2,2,2
bank_of_america_customized_cash_rewards_for_students,gas,6,0,6,6,6
bank_of_america_customized_cash_rewards_for_students,online,6,0,6,6,6
bank_of_america_customized_cash_rewards_for_students,dining,6,0,6,6,6
bank_of_america_customized_cash_rewards_for_students,travel,6,0,6,6,6
bank_of_america_customized_cash_rewards_for_students,pharma,6,0,6,6,6
bank_of_america_customized_cash_rewards_for_students,all,1,0,1,1,1
bank_of_america_unlimited_cash_rewards_for_students,all,2,0,2,2,2
bank_of_america_travel_rewards_for_students,all,0,1,1,1,1
bank_of_america_customized_cash_rewards_secured,grocery,2,0,2,2,2
bank_of_america_customized_cash_rewards_secured,gas,6,0,6,6,6
bank_of_america_customized_cash_rewards_secured,online,6,0,6,6,6
bank_of_america_customized_cash_rewards_secured,dining,6,0,6,6,6
bank_of_america_customized_cash_rewards_secured,travel,6,0,6,6,6
bank_of_america_customized_cash_rewards_secured,pharma,6,0,6,6,6
bank_of_america_customized_cash_rewards_secured,all,1,0,1,1,1
bank_of_america_unlimited_cash_rewards_secured,all,2,0,2,2,2
bank_of_america_travel_rewards_visa_secured,all,0,1,1,1,1
alaska_airlines_visa_signature,travel,0,3,3,3,3
alaska_airlines_visa_signature,gas,0,2,2,2,2
susan_g_komen_customized_cash_rewards,grocery,2,0,2,2,2
susan_g_komen_customized_cash_rewards,gas,6,0,6,6,6
susan_g_komen_customized_cash_rewards,online,6,0,6,6,6
susan_g_komen_customized_cash_rewards,dining,6,0,6,6,6
susan_g_komen_customized_cash_rewards,travel,6,0,6,6,6
susan_g_komen_customized_cash_rewards,pharma,6,0,6,6,6
susan_g_komen_customized_cash_rewards,all,1,0,1,1,1
free_spirit_travel_more_world_elite_mastercard,travel,0,3,3,3,3
free_spirit_travel_more_world_elite_mastercard,dining,0,2,2,2,2
free_spirit_travel_more_world_elite_mastercard,grocery,0,2,2,2,2
free_spirit_travel_more_world_elite_mastercard,all,0,1,1,1,1
allways_rewards_visa,travel,0,3,3,3,3
allways_rewards_visa,dining,0,2,2,2,2
allways_rewards_visa,all,0,1,1,1,1
air_france_klm_world_elite_mastercard,travel,0,3,3,3,3
air_france_klm_world_elite_mastercard,all,0,1,1,1,1
royal_caribbean_visa_signature,travel,0,2,2,2,2
royal_caribbean_visa_signature,all,0,1,1,1,1
norwegian_cruise_line_world_mastercard,travel,0,3,3,3,3
norwegian_cruise_line_world_mastercard,all,0,1,1,1,1
celebrity_cruises_visa_signature,travel,0,2,2,2,2
celebrity_cruises_visa_signature,all,0,1,1,1,1
chase_sapphire_preferred,travel,0,5,5,5,5
chase_sapphire_preferred,dining,0,3,3,3,3
chase_sapphire_preferred,grocery,0,3,3,3,3
chase_sapphire_preferred,online,0,3,3,3,3
chase_sapphire_preferred,all,0,1,1,1,1
chase_sapphire_reserve,travel,0,10,10,10,10
chase_sapphire_reserve,dining,0,3,3,3,3
chase_sapphire_reserve,all,0,1,1,1,1
chase_freedom_unlimited,dining,3,0,3,3,3
chase_freedom_unlimited,pharma,3,0,3,3,3
chase_freedom_unlimited,travel,5,0,5,5,5
chase_freedom_unlimited,all,1,0,1,1,1
chase_freedom_flex,grocery,5,0,5,5,5
chase_freedom_flex,gas,5,0,5,5,5
chase_freedom_flex,online,5,0,5,5,5
chase_freedom_flex,travel,5,0,5,5,5
chase_freedom_flex,dining,3,0,3,3,3
chase_freedom_flex,pharma,3,0,3,3,3
chase_freedom_flex,all,1,0,1,1,1
chase_freedom_rise,all,1,0,1,1,1
slate_edge,all,0,0,0,0,0
the_new_unitedsm_explorer,travel,0,2,2,2,2
the_new_unitedsm_explorer,dining,0,2,2,2,2
the_new_unitedsm_explorer,all,0,1,1,1,1
the_new_united_questsm,travel,0,5,5,5,5
the_new_united_questsm,dining,0,2,2,2,2
the_new_united_questsm,all,0,1,1,1,1
the_new_united_gatewaysm,gas,0,2,2,2,2
the_new_united_gatewaysm,travel,0,2,2,2,2
the_new_united_gatewaysm,all,0,1,1,1,1
the_new_united_clubsm,travel,0,9,9,9,9
the_new_united_clubsm,dining,0,2,2,2,2
the_new_united_clubsm,all,0,1,1,1,1
southwest_rapid_rewards_plus,travel,0,2,2,2,2
southwest_rapid_rewards_plus,all,0,1,1,1,1
southwest_rapid_rewards_priority,travel,0,2,2,2,2
southwest_rapid_rewards_priority,all,0,1,1,1,1
southwest_rapid_rewards_premier,travel,0,2,2,2,2
southwest_rapid_rewards_premier,all,0,1,1,1,1
marriott_bonvoy_boundless,travel,0,0,0,0,0
marriott_bonvoy_bountiful,travel,0,6,6,6,6
marriott_bonvoy_bold,grocery,0,2,2,2,2
marriott_bonvoy_bold,travel,0,0,0,0,0
ihg_one_rewards_premier,travel,0,5,5,5,5
ihg_one_rewards_premier,dining,0,5,5,5,5
ihg_one_rewards_premier,gas,0,5,5,5,5
ihg_one_rewards_premier,all,0,3,3,3,3
ihg_one_rewards_traveler,travel,0,0,0,0,0
disney_premier_visa,grocery,2,0,2,2,2
disney_premier_visa,gas,2,0,2,2,2
disney_premier_visa,dining,2,0,2,2,2
disney_premier_visa,all,1,0,1,1,1
disney_visa,all,1,0,1,1,1
world_of_hyatt,dining,0,2,2,2,2
world_of_hyatt,travel,0,2,2,2,2
world_of_hyatt,all,0,1,1,1,1
aeroplan,grocery,0,3,3,3,3
aeroplan,dining,0,3,3,3,3
aeroplan,travel,0,3,3,3,3
aeroplan,all,0,1,1,1,1
british_airways_visa_signature,travel,0,3,3,3,3
british_airways_visa_signature,all,0,1,1,1,1
aer_lingus_visa_signature,travel,0,2,2,2,2
aer_lingus_visa_signature,all,0,1,1,1,1
iberia_visa_signature,travel,0,2,2,2,2
iberia_visa_signature,all,0,1,1,1,1
prime_visa,online,10,0,10,10,10
amazon_visa,gas,2,0,2,2,2
amazon_visa,dining,2,0,2,2,2
amazon_visa,travel,2,0,2,2,2
amazon_visa,all,1,0,1,1,1
doordash_rewards_mastercard,online,4,0,4,4,4
doordash_rewards_mastercard,dining,3,0,3,3,3
doordash_rewards_mastercard,grocery,2,0,2,2,2
doordash_rewards_mastercard,all,1,0,1,1,1
instacart_mastercard,dining,2,0,2,2,2
instacart_mastercard,gas,2,0,2,2,2
instacart_mastercard,online,2,0,2,2,2
instacart_mastercard,all,1,0,1,1,1
discover_it_cash_back,all,5,0,5,5,5
discover_it_cash_back,all,1,0,1,1,1
discover_it_student_cash_back,all,5,0,5,5,5
discover_it_student_cash_back,all,1,0,1,1,1
discover_it_secured,gas,2,0,2,2,2
discover_it_secured,dining,2,0,2,2,2
discover_it_secured,all,1,0,1,1,1
discover_it_student_chrome,gas,2,0,2,2,2
discover_it_student_chrome,dining,2,0,2,2,2
discover_it_student_chrome,all,1,0,1,1,1
discover_it_miles,all,0,1,1,1,1
discover_it_chrome_gas_restaurant,gas,2,0,2,2,2
discover_it_chrome_gas_restaurant,dining,2,0,2,2,2
discover_it_chrome_gas_restaurant,all,1,0,1,1,1
nhl_discover_it,all,5,0,5,5,5
nhl_discover_it,all,1,0,1,1,1
